role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore;anno_finale
A;Martinez L.;Inter;33;6.65;8.73;24;0;0;3;2;1;2;5;0.0;0.0;2023-2024;0;2024
A;Dybala;Roma;27;6.48;8.2;13;0;0;7;7;0;9;3;0.0;0.0;2023-2024;1;2024
A;Scamacca;Atalanta;28;6.41;7.89;12;0;0;0;0;0;6;1;0.0;0.0;2023-2024;1;2024
A;Giroud;Milan;34;6.26;7.71;15;0;0;5;4;1;8;0;1.0;0.0;2023-2024;1;2024
A;Osimhen;Napoli;25;6.36;7.88;15;0;0;5;3;2;2;4;1.0;0.0;2023-2024;0;2024
A;Thuram;Inter;35;6.54;7.81;13;0;0;0;0;0;7;3;0.0;0.0;2023-2024;1;2024
A;Lookman;Atalanta;30;6.37;7.63;11;0;0;0;0;0;7;4;0.0;0.0;2023-2024;0;2024
A;Vlahovic;Juventus;33;6.18;7.42;16;0;0;4;2;2;3;6;1.0;0.0;2023-2024;0;2024
A;Rafael Leao;Milan;33;6.39;7.41;9;0;0;0;0;0;9;5;0.0;0.0;2023-2024;0;2024
A;Zapata D.;Torino;37;6.26;7.36;13;0;0;0;0;0;3;2;0.0;0.0;2023-2024;1;2024
A;Gonzalez N.;Fiorentina;29;6.31;7.4;12;0;0;3;1;2;2;1;0.0;0.0;2023-2024;1;2024
A;Zirkzee;Bologna;34;6.43;7.4;11;0;0;2;2;0;4;8;0.0;0.0;2023-2024;0;2024
A;Chiesa;Juventus;32;6.28;7.17;9;0;0;1;1;0;2;1;0.0;0.0;2023-2024;1;2024
A;Kvaratskhelia;Napoli;34;6.25;7.25;11;0;0;0;0;0;5;8;0.0;0.0;2023-2024;0;2024
A;Berardi;Sassuolo;17;6.53;8.06;9;0;0;5;5;0;2;6;0.0;0.0;2023-2024;0;2024
A;Soule';Frosinone;36;6.29;7.07;11;0;0;6;5;1;2;4;0.0;1.0;2023-2024;0;2024
A;Lukaku;Roma;32;6.09;7.2;13;0;0;1;0;1;3;5;1.0;0.0;2023-2024;0;2024
A;Cabral;Fiorentina;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
A;Okafor;Milan;24;6.21;7.02;6;0;0;0;0;0;2;1;0.0;0.0;2023-2024;1;2024
A;Beto;Udinese;1;5.5;5.5;0;0;0;0;0;0;0;0;0.0;0.0;2023-2024;0;2024
A;Retegui;Genoa;29;6.09;6.79;7;0;0;1;1;0;2;5;0.0;0.0;2023-2024;0;2024
A;Belotti;Fiorentina;24;6.21;7.1;6;0;0;0;0;0;4;1;0.0;0.0;2023-2024;1;2024
A;Pinamonti;Sassuolo;37;5.92;6.7;11;0;0;3;2;1;1;4;0.0;0.0;2023-2024;0;2024
A;Ngonge;Napoli;28;6.14;6.86;7;0;0;0;0;0;2;6;0.0;0.0;2023-2024;0;2024
A;Lucca;Udinese;34;6.04;6.75;8;0;0;0;0;0;3;6;0.0;0.0;2023-2024;0;2024
A;Luvumbo;Cagliari;30;6.27;6.75;4;0;0;0;0;0;5;5;0.0;0.0;2023-2024;0;2024
A;Djuric;Monza;36;6.08;6.67;9;0;0;3;1;2;2;4;0.0;0.0;2023-2024;0;2024
A;Beltran L.;Fiorentina;30;6.12;6.65;6;0;0;1;1;0;1;6;0.0;0.0;2023-2024;0;2024
A;Cheddira;Frosinone;31;6.05;6.76;7;0;0;1;1;0;1;0;0.0;0.0;2023-2024;0;2024
